Time	Temperature 1	Temperature 2	Temperature 3	Temperature 4
t	Temp 1	Temp 2	Temp 3	Temp 4
min 	°C 	°C 	°C 	°C 
114,5	68,4441880474	55,0027018968	36,359109738	23,6854702985
115	68,4441880474	54,937974153	36,4077894483	24,6143516729
115,5	68,4885054159	54,9703272211	36,3347779045	23,5227054594
116	68,4885054159	54,8407795784	36,3834469147	23,4994760481
116,5	68,4885054159	54,7762671514	36,3347779045	23,5459337264
117	68,4885054159	54,8730679145	36,3347779045	23,8481830153
117,5	68,4441880474	54,937974153	36,359109738	24,1964791803
118	68,4441880474	54,9703272211	36,3347779045	23,6854702985
118,5	68,4885054159	54,905642648	36,3347779045	23,7319104094
119	68,4885054159	55,0350982249	36,3834469147	23,7783463702
119,5	68,5328729473	55,0675162501	36,359109738	23,5459337264
120	68,5328729473	55,1324175715	36,3834469147	23,6854702985
120,5	68,5328729473	54,9703272211	36,3834469147	24,2428788024
121	68,5772907784	55,0027018968	36,3347779045	23,9874496028
121,5	68,5772907784	55,0675162501	36,359109738	23,7086908787
122	68,5328729473	55,0675162501	36,4077894483	23,5459337264
122,5	68,5772907784	55,0675162501	36,3834469147	23,6622486572
123	68,5772907784	55,0350982249	36,4077894483	23,7319104094
123,5	68,5772907784	55,0350982249	36,4321373523	23,7551289027
124	68,5772907784	54,937974153	36,4321373523	23,7319104094
124,5	68,5772907784	54,9703272211	36,4321373523	23,6854702985
125	68,5772907784	55,0350982249	36,4077894483	23,824968562
125,5	68,5772907784	55,0350982249	36,4564906404	23,5459337264
126	68,621795517	55,0675162501	36,4808493262	24,0106574553
126,5	68,5772907784	55,1649009578	36,4564906404	23,5691608609
127	68,621795517	55,1324175715	36,4564906404	23,9410311631
127,5	68,621795517	55,0999560173	36,4808493262	23,8713964903
128	68,666350914	55,0027018968	36,5054131514	24,0572606946
128,5	68,621795517	55,0999560173	36,5054131514	24,1036702202
129	68,666350914	55,0027018968	36,5297827182	23,7551289027
129,5	68,666350914	55,1974062215	36,5541577237	23,7551289027
130	68,621795517	55,1649009578	36,6029241061	23,6390259428
130,5	68,666350914	55,1974062215	36,6029241061	23,7319104094
131	68,666350914	55,1649009578	36,6029241061	23,8713964903
131,5	68,666350914	55,3279142073	36,6273155103	23,8713964903
132	68,666350914	55,2302001148	36,5785381818	23,824968562
132,5	68,666350914	55,2627494496	36,6273155103	23,7086908787
133	68,7109571082	55,1324175715	36,6029241061	23,8017531186
133,5	68,7109571082	55,2953207986	36,6517124083	23,7319104094
134	68,666350914	55,1324175715	36,6517124083	23,7783463702
